Question ID,Question,Correct Answer,AI Answer,Correct/Incorrect,Error Type,Notes
Q01,Who currently owns the browser smoke tests?,Shaurya,Shaurya.,Correct,Correct,Matched the answer key.
Q02,Which project tasks are delayed at the end of Day 30?,The MVP release and legacy accessibility cleanup.,MVP release and legacy accessibility cleanup.,Correct,Correct,Matched the answer key.
Q03,What is the only active blocker at the end of Day 30?,Keyboard-only smoke coverage is incomplete.,Incomplete keyboard-only smoke coverage.,Correct,Correct,Matched the answer key.
Q04,What is the current MVP release target?,July 17 2026.,"July 17, 2026.",Correct,Correct,Matched the answer key.
Q05,Which planned feature was removed because an existing mock mode already covered the need?,Standalone terminal demo mode.,Standalone terminal demo mode.,Correct,Correct,Matched the answer key.
Q06,Is the Live Help offline fallback still part of the current MVP?,No. It was canceled and removed from the current MVP.,No. It was removed from the MVP; its limited revival is future backlog only.,Correct,Correct,Matched the answer key.
Q07,Which browser testing framework is the current technical decision?,Playwright.,Playwright.,Correct,Correct,Matched the answer key.
Q08,Which cloud platform is the current primary terminal deployment target?,Azure VM.,An Azure VM.,Correct,Correct,Matched the answer key.
Q09,What is the current terminal draft recovery requirement?,"Show a visible recovered state and a confirmed discard control, using challenge-scoped storage.","Visible recovered-state feedback and a confirmed discard control, using challenge-scoped draft persistence.",Correct,Correct,Matched the answer key.
Q10,Who owns guided learning paths and what is their current status?,"Aryan Raj owns the task, and it is completed.",Aryan Raj; completed and merged with manual navigation preserved.,Correct,Correct,Matched the answer key.
Q11,What is the current status of the static HTML QA gate?,Completed.,Completed; the corrected changed-file gate merged with regression coverage.,Correct,Correct,Matched the answer key.
Q12,What rules define the current static HTML QA gate?,"It checks changed files, ignores HTML comments, and uses a small explicit allowlist.","Run only on changed HTML, strip comments first, check active links, alt text, titles, and footer regressions, and use a small explicit allowlist.",Correct,Correct,Matched the answer key.
Q13,Who owns local learner progress and is it complete?,"Aarohi owns it, and it is completed.","Aarohi; yes, it is complete.",Correct,Correct,Matched the answer key.
Q14,Is root deployment routing still blocking the project?,No. The routing issue was resolved and completed with smoke-test coverage.,No. It was resolved and covered by smoke tests.,Correct,Correct,Matched the answer key.
Q15,Which README approach should be ignored as outdated?,"The long, badge-heavy, presentation-focused README draft should be ignored; the current README is a concise essentials-only walkthrough.","The long, badge-heavy, presentation-focused README with a detailed contributor guide.",Correct,Correct,Matched the answer key.
Q16,Which tasks changed owners more than once by Day 30?,Privacy-safe learning analytics and legacy accessibility cleanup changed owners multiple times.,None had more than one explicit owner reassignment.,Incorrect,Incorrect,Automated keyword rubric flagged: Incorrect.
Q17,"Which blocker was active earlier, resolved, and followed by a later related active blocker?","Browser dependency installation was resolved, then keyboard-only smoke coverage became the later active blocker.","Legacy accessibility cleanup: broken course paths were resolved, then incomplete keyboard-only coverage became the related blocker.",Incomplete,Incomplete answer,Automated keyword rubric flagged: Incomplete answer.
Q18,"Which canceled feature was partly revived under a new name, and is it in the current MVP?","The Live Help offline fallback was partly revived as the Help Center prompt fallback, but it is not in the current MVP.",Live Help offline fallback became Help Center prompt fallback; it is not in the current MVP.,Correct,Correct,Matched the answer key.
Q19,How should the two similarly named browser tasks be distinguished?,Browser smoke tests are the completed end-to-end suite; browser smoke test fixtures are a separate active fixture-only task.,Browser smoke tests are Shaurya’s completed end-to-end suite; browser smoke test fixtures are Naysa’s separate active fixture-only task.,Correct,Correct,Matched the answer key.
Q20,What are the successive deadline changes for legacy accessibility cleanup and its current target?,"The target moved from July 15 to July 18, then to July 19, 2026.",July 15 → July 18 → July 19; July 19 is current.,Correct,Correct,Matched the answer key.
Q21,Which requirement was removed from the MVP but retained in the future backlog?,The Live Help offline fallback was removed from the MVP but retained in the future backlog.,The Live Help offline fallback requirement.,Incomplete,Incomplete answer,Automated keyword rubric flagged: Incomplete answer.
Q22,What old browser-owner fact must be ignored in the current answer?,Ignore Ishaan's old browser smoke-test assignment and use Shaurya as the current owner.,Ignore Ishaan’s initial ownership; Shaurya is current.,Correct,Correct,Matched the answer key.
Q23,Which events changed keyboard-only coverage from a release requirement into the current blocker?,"E081 made keyboard-only coverage a release requirement, and E086 recorded it as the only active blocker.",E081 made keyboard coverage a release requirement; E084 found it incomplete; E085 delayed release; E086 confirmed it as the only active blocker.,Correct,Correct,Matched the answer key.
Q24,Which terminal draft-recovery facts should be used and which old fact should be ignored?,"Use the visible recovered state, confirmed discard, and challenge-scoped storage; ignore silent-only restore.","Use the visible recovered state, confirmed discard control, challenge-scoped persistence, and completed regression coverage; ignore the outdated silent-only restore with no controls.",Correct,Correct,Matched the answer key.
Q25,Which canceled features should not be included in the current MVP?,"Standalone terminal demo mode, Live Help offline fallback, and the guided paths desktop mockup should not be included.","The experimental recovery branch, standalone terminal demo mode, and Live Help offline fallback.",Incomplete,Incomplete answer,Automated keyword rubric flagged: Incomplete answer.
Q26,What current browser-testing decision replaces the earlier technical decision?,Use Playwright and ignore the earlier Cypress decision.,Playwright replaces Cypress.,Correct,Correct,Matched the answer key.
Q27,Which older release deadline would be wrong if the AI relied only on early notes?,"July 13 is outdated; the current MVP release target is July 17, 2026.","July 13, 2026.",Incomplete,Incomplete answer,Automated keyword rubric flagged: Incomplete answer.
Q28,What current facts define guided learning paths after the ownership and navigation changes?,Aryan Raj owns the completed guided paths; the mobile-first layout preserves all manual course links.,Aryan Raj owns the completed feature: a mobile-first path section with path cards while every existing course link remains available.,Incomplete,Incomplete answer,Automated keyword rubric flagged: Incomplete answer.
Q29,Which temporary or expired project information should be ignored?,The draft demo checklist and the expired sprint review meeting should be ignored as irrelevant.,"Ignore the one-day draft demo checklist, expired sprint-review meeting, temporary progress fixtures, and rejected desktop-only guided-path mockup.",Correct,Correct,Matched the answer key.
Q30,What facts define current release risk at the end of Day 30?,"The MVP release is delayed to July 17, legacy accessibility cleanup is delayed to July 19, and keyboard-only smoke coverage is incomplete.","Keyboard-only smoke coverage is incomplete and is the only active blocker, delaying the MVP to July 17 and the bounded Courses 1–3 cleanup to July 19.",Incomplete,Incomplete answer,Automated keyword rubric flagged: Incomplete answer.
